,BioScience.txt,Zoological Records.txt,Philosophy.txt,Medical.txt,Law.txt,Humanities.txt,Chemical.txt,Religion.txt,Economics.txt,Anthropology.txt,Korean Medical Terms.txt,Astronomy and Astrophysics.txt,,,,,,,,,,,,,
cortex,4,2,0,6,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cosmetic,4,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cosmochim,1,1,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,
cosmochimica,1,1,0,0,0,0,1,0,0,0,0,2,,,,,,,,,,,,,
cost,1,0,0,22,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
costeras,1,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
costs,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cots,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
counc,14,34,1,16,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
council,18,36,1,8,0,4,0,4,0,0,0,3,,,,,,,,,,,,,
couns,1,0,0,8,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
counseling,1,0,0,3,0,0,0,8,0,0,0,0,,,,,,,,,,,,,
county,1,7,0,17,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cour,1,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
courier,1,2,0,0,0,2,0,0,0,2,0,0,,,,,,,,,,,,,
course,2,8,0,3,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
court,2,0,0,0,1,0,0,0,2,0,0,0,,,,,,,,,,,,,
cr,3,4,0,3,2,0,4,0,0,0,0,3,,,,,,,,,,,,,
cracov,1,2,0,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cracoviensia,1,2,0,1,0,0,0,2,0,0,0,0,,,,,,,,,,,,,
cracow,2,2,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,
craniofac,1,0,0,8,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
craniofacial,1,2,0,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
crash,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
crashworthiness,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
crc,3,0,0,35,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
creel,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cretaceous,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
crim,1,0,1,2,7,0,0,0,0,0,0,0,,,,,,,,,,,,,
criminal,2,0,1,0,7,0,0,0,0,0,0,0,,,,,,,,,,,,,
criminol,1,0,0,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
criminology,3,0,0,0,2,0,0,0,0,0,0,0,,,,,,,,,,,,,
crisis,2,0,0,3,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
crit,18,4,10,96,0,1,6,3,0,1,1,0,,,,,,,,,,,,,
critical,19,4,5,56,0,11,6,3,1,0,1,1,,,,,,,,,,,,,
croat,5,3,0,6,0,0,1,0,0,0,0,0,,,,,,,,,,,,,
croatia,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
croatian,1,0,2,1,0,3,0,0,0,0,0,0,,,,,,,,,,,,,
croatica,3,5,0,5,0,0,1,0,0,0,0,0,,,,,,,,,,,,,
crop,14,16,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
crops,2,14,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cruise,6,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cruises,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
crust,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
crustac,1,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
crustacean,2,8,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
crustaceana,2,5,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cruz,2,2,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cryobiology,2,2,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cryptogamie,4,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cs,2,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
csiro,12,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
csrp,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
ct,2,0,0,4,1,1,0,0,0,0,0,1,,,,,,,,,,,,,
cty,1,7,0,36,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cuad,3,10,5,0,0,0,0,0,0,5,0,0,,,,,,,,,,,,,
cuadernos,3,10,5,0,0,6,0,2,6,5,0,0,,,,,,,,,,,,,
cuae,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cub,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cuba,4,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cubana,1,6,0,9,0,0,0,0,0,1,0,0,,,,,,,,,,,,,
cult,12,14,6,8,0,0,0,1,3,23,0,0,,,,,,,,,,,,,
cultura,3,3,1,1,0,18,0,3,0,5,0,0,,,,,,,,,,,,,
cultural,1,6,1,2,0,8,0,5,2,6,0,0,,,,,,,,,,,,,
culture,9,4,7,2,5,31,0,20,1,11,0,3,,,,,,,,,,,,,
curr,60,31,0,148,0,0,10,3,1,1,0,0,,,,,,,,,,,,,
current,61,30,2,81,0,2,10,4,1,1,0,5,,,,,,,,,,,,,
curtin,2,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cutan,1,0,0,8,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cutaneous,3,0,0,5,0,0,2,0,0,0,0,0,,,,,,,,,,,,,
cutting,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cybern,1,1,0,4,0,0,0,0,1,0,0,0,,,,,,,,,,,,,
cybernetica,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cybernetics,1,1,0,3,0,0,0,0,1,0,0,3,,,,,,,,,,,,,
cyberpsychol,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cyberpsychology,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cybium,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cytobios,2,2,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cytochem,1,3,0,6,0,0,1,0,0,0,0,0,,,,,,,,,,,,,
cytochemica,1,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cytogenet,4,4,0,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cytogenetic,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cytogenetics,3,3,0,7,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cytokine,6,0,0,18,0,0,2,0,0,0,0,0,,,,,,,,,,,,,
cytokines,2,0,0,11,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cytol,2,10,0,22,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cytologia,2,2,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cytology,2,9,0,14,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
cytometry,2,2,0,6,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cytopathol,1,0,0,2,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
cytopathology,1,0,0,4,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
cytoskeleton,2,2,0,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cytotechnology,2,0,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
cytotherapy,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
d,12,57,0,107,0,2,13,1,3,1,0,12,,,,,,,,,,,,,
da,14,49,2,43,0,1,0,0,0,0,0,2,,,,,,,,,,,,,
dabidjan,3,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dactivite,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dairy,8,4,0,6,0,0,2,0,0,0,0,1,,,,,,,,,,,,,
dakar,2,0,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dakota,2,9,0,2,2,2,0,0,0,0,0,0,,,,,,,,,,,,,
dala,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dalfort,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dalhousie,6,0,2,3,0,2,0,0,0,0,0,0,,,,,,,,,,,,,
dalian,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dalnevostochnogo,1,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dams,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dana,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dance,1,0,2,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
dang,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dangerous,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dannykh,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dans,1,1,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,
das,3,2,2,4,0,1,0,1,0,0,0,0,,,,,,,,,,,,,
data,50,22,2,59,0,1,12,0,2,0,0,16,,,,,,,,,,,,,
datos,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
daugavpiliensis,2,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
david,2,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,
davidson,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
davis,8,0,0,0,6,0,0,0,0,0,0,1,,,,,,,,,,,,,
daxue,28,50,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dbcp,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dc,1,0,0,2,0,0,3,0,0,0,0,2,,,,,,,,,,,,,
dea,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
death,2,0,0,10,0,0,0,2,0,0,0,0,,,,,,,,,,,,,
debarq,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
debarquements,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
decade,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
decheniana,2,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
decis,1,0,1,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
decision,1,0,2,3,0,0,0,0,4,0,0,0,,,,,,,,,,,,,
decisions,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
deep,8,6,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,
def,3,3,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
defects,6,0,0,3,0,0,2,0,0,0,0,1,,,,,,,,,,,,,
defence,2,0,0,0,0,0,0,0,4,0,0,0,,,,,,,,,,,,,
defenders,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
defense,1,3,0,0,1,0,0,0,0,0,0,6,,,,,,,,,,,,,
defic,1,0,0,12,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
deficiency,1,0,0,7,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
degli,2,11,2,7,0,1,0,2,2,0,0,1,,,,,,,,,,,,,
degradation,4,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,
dei,2,15,0,3,0,2,0,0,0,0,0,4,,,,,,,,,,,,,
del,65,134,4,48,1,16,0,0,3,10,0,10,,,,,,,,,,,,,
delaware,2,2,0,3,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
delhi,2,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
deliv,2,0,0,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
delivery,4,0,0,3,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
dell,1,0,0,15,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
della,5,66,4,15,0,16,4,1,1,0,0,7,,,,,,,,,,,,,
dellaccademia,1,2,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
dellalimentazione,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dellassociazione,1,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dellente,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dellindustria,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dellistituto,2,12,0,0,0,4,0,2,0,0,0,0,,,,,,,,,,,,,
delt,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
delta,2,8,0,0,0,0,0,2,0,0,0,2,,,,,,,,,,,,,
deltio,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dem,12,36,0,13,0,0,0,0,0,2,0,0,,,,,,,,,,,,,
dementias,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
den,1,12,0,1,0,2,0,0,0,0,0,3,,,,,,,,,,,,,
densitometry,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dent,9,4,0,878,0,0,1,0,0,0,0,0,,,,,,,,,,,,,
dental,12,4,0,357,0,0,1,0,0,0,0,0,,,,,,,,,,,,,
dentistry,2,0,0,88,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dentomologie,2,10,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dentomologiebulletin,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dep,70,131,0,5,0,0,0,0,0,2,0,0,,,,,,,,,,,,,
departamento,2,6,0,0,0,1,0,0,0,0,0,2,,,,,,,,,,,,,
departement,1,3,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
department,88,121,0,1,0,2,0,1,0,2,0,8,,,,,,,,,,,,,
departmental,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
depend,1,0,0,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dependence,1,0,0,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
depidemiologie,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dept,7,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,
der,36,190,3,86,0,49,4,16,5,6,0,78,,,,,,,,,,,,,
dergisijournal,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dergj,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
deriv,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
derivati,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dermatitis,2,0,0,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dermatol,7,2,0,106,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
dermatology,7,2,0,28,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
des,79,210,5,85,0,58,20,29,2,16,0,49,,,,,,,,,,,,,
desarr,5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
desarro,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
desarrollo,6,6,0,0,0,0,0,0,4,0,0,0,,,,,,,,,,,,,
desert,2,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
desig,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
design,14,1,0,16,0,0,11,0,4,0,0,12,,,,,,,,,,,,,
designation,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
det,2,0,0,2,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
detect,1,0,0,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
detection,1,0,0,4,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
dethologie,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
detudes,1,11,0,0,0,14,0,0,1,2,0,0,,,,,,,,,,,,,
deutsche,6,6,2,16,0,12,0,0,0,0,0,3,,,,,,,,,,,,,
deutschen,2,12,1,9,0,13,0,4,0,0,0,1,,,,,,,,,,,,,
deutscher,1,3,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
dev,96,121,1,166,4,0,6,1,0,2,0,0,,,,,,,,,,,,,
devaluation,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
development,71,52,0,70,3,4,5,0,40,1,0,12,,,,,,,,,,,,,
developmental,22,25,0,48,0,1,1,0,0,0,0,0,,,,,,,,,,,,,
developments,4,43,0,10,1,0,0,0,0,0,0,2,,,,,,,,,,,,,
developpement,2,3,0,1,0,0,0,0,1,0,0,0,,,,,,,,,,,,,
device,4,0,0,3,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
devl,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
devlet,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dexistence,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dhalieutique,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dhistoire,2,32,0,0,0,8,0,4,0,1,0,1,,,,,,,,,,,,,
dhydrologieeuropean,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
di,22,183,16,130,0,76,6,10,8,1,0,32,,,,,,,,,,,,,
dia,2,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
diabetes,4,0,0,36,0,0,0,0,0,0,1,0,,,,,,,,,,,,,
diagn,5,1,0,64,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
diagnosis,2,0,0,11,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
diagnostic,3,1,0,25,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dial,2,0,0,16,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dialysis,2,0,0,12,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
diatom,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
didct,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
didctica,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
die,5,7,1,11,0,17,0,14,1,0,0,3,,,,,,,,,,,,,
diego,4,8,0,3,4,0,1,0,0,0,0,1,,,,,,,,,,,,,
diet,1,0,0,8,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dietetic,1,0,0,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
differ,2,4,0,12,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
differentiation,4,6,0,14,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dig,5,5,0,50,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
digest,6,4,2,15,0,0,0,6,2,0,0,5,,,,,,,,,,,,,
digestive,1,1,0,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dili,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dimens,1,2,0,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dimensions,1,1,0,8,0,1,0,0,0,0,0,1,,,,,,,,,,,,,
dinformation,1,3,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,
dipa,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
diplomatic,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dir,9,7,0,16,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
direction,3,2,0,0,0,0,0,2,0,0,0,0,,,,,,,,,,,,,
directions,1,0,0,6,0,0,0,2,0,0,0,2,,,,,,,,,,,,,
director,2,0,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
directorate,2,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
directories,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
direkteur,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dis,49,34,0,231,0,0,0,0,0,0,4,0,,,,,,,,,,,,,
disab,4,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
disabilities,3,0,0,2,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
disability,1,0,0,4,0,0,0,2,0,0,0,0,,,,,,,,,,,,,
disas,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
disaster,11,0,0,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
disasters,2,0,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
disc,4,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
disciplines,2,0,0,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
discov,7,0,0,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
discoveries,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
discovery,9,6,2,2,0,0,6,2,0,0,0,0,,,,,,,,,,,,,
discuss,6,1,0,6,0,0,1,0,0,0,0,0,,,,,,,,,,,,,
discussion,6,1,0,0,0,1,0,1,0,0,0,0,,,,,,,,,,,,,
discussions,3,0,2,3,0,0,1,0,0,0,0,5,,,,,,,,,,,,,
disease,20,8,0,65,0,1,0,2,0,0,2,0,,,,,,,,,,,,,
diseases,28,26,0,85,0,0,0,0,0,0,2,0,,,,,,,,,,,,,
disiji,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
disord,9,0,0,40,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
disorders,14,0,0,26,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
disposition,4,0,0,4,0,0,1,0,0,0,0,0,,,,,,,,,,,,,
diss,6,7,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dissertation,3,3,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
dissertationes,3,2,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
distrib,1,4,0,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
distributions,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
district,1,16,0,17,1,0,0,0,0,0,0,0,,,,,,,,,,,,,
div,13,59,0,4,0,0,3,8,0,0,0,0,,,,,,,,,,,,,
divers,3,7,0,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
diversity,3,6,0,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
diving,2,2,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
division,13,59,0,2,0,1,3,1,0,0,0,7,,,,,,,,,,,,,
divulg,2,4,0,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
divulgacao,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dizhi,6,20,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dna,8,6,0,16,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
doc,33,39,0,8,0,0,0,2,1,0,0,0,,,,,,,,,,,,,
doceanographie,1,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
doceanologie,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
doctorales,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
document,13,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
documentary,1,0,0,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
documentation,3,1,0,1,0,1,0,4,1,0,0,2,,,,,,,,,,,,,
documento,5,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
documentos,3,5,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
documents,8,13,0,2,0,1,0,0,0,1,0,0,,,,,,,,,,,,,
dokl,3,30,0,6,0,0,1,0,0,0,0,0,,,,,,,,,,,,,
doklady,3,29,0,3,0,0,1,0,0,0,0,13,,,,,,,,,,,,,
domest,1,0,0,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
domestic,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
donghai,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
donnees,2,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,
dopov,1,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dopovidi,1,4,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,
doria,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
doriana,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dosimet,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dosimetry,1,0,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,
doss,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dossier,1,0,0,0,0,0,0,2,0,0,0,0,,,,,,,,,,,,,
dossiers,2,0,0,0,0,0,0,5,0,0,0,0,,,,,,,,,,,,,
dr,4,8,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
draft,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
droit,4,0,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
drosera,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
drug,92,2,0,156,0,0,20,2,0,0,0,0,,,,,,,,,,,,,
drugs,14,0,0,50,0,0,2,0,0,0,0,0,,,,,,,,,,,,,
drugszhongguo,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dsir,2,8,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dtsch,9,20,0,56,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
du,16,101,0,33,0,26,0,3,1,9,0,7,,,,,,,,,,,,,
dual,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dublin,6,10,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
duc,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dugesiana,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dumerilia,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dunstaffnage,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
durable,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
durables,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
durban,2,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dvnigmi,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
dyn,7,2,0,8,0,0,1,0,0,2,0,0,,,,,,,,,,,,,
dynamics,7,2,0,5,0,0,1,0,6,1,0,24,,,,,,,,,,,,,
e,40,176,6,118,0,40,12,23,11,10,0,23,,,,,,,,,,,,,
early,4,0,0,6,0,6,0,9,0,0,0,0,,,,,,,,,,,,,
earn,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
earnings,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
earth,16,90,0,4,0,0,2,0,0,0,0,38,,,,,,,,,,,,,
earthquake,12,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
earthsci,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
